,title,authors,date,journal,citations,references,paper_link,authors_full,affiliation
98,SnO2: A comprehensive review on structures and gas sensors,"Das, S Jayaraman, V",Oct 2014,PROGRESS IN MATERIALS SCIENCE,712,857,/wos/woscc/full-record/WOS:000341472200003,"Das, S; Jayaraman, V","Indira Gandhi Ctr Atom Res, Mat Chem Div, Kalpakkam 603102, Tamil Nadu, India"
99,Efficient perovskite solar cells via improved carrier management,"Yoo, JJ Seo, G ... Seo, J",Feb 25 2021,NATURE,984,50,/wos/woscc/full-record/WOS:000621583600010,"Yoo, JJ; Seo, G; Chua, MR; Park, TG; Lu, YL; Rotermund, F; Kim, YK; Moon, CS; Jeon, NJ; Correa-Baena, JP; Bulovic, V; Shin, SS; Bawendi, MG; Seo, J","MIT, Dept Chem, Cambridge, MA 02139 USA; Korea Res Inst Chem Technol, Div Adv Mat, Daejeon, South Korea; MIT, Dept Elect Engn & Comp Sci, Cambridge, MA 02139 USA; Korea Adv Inst Sci & Technol, Dept Phys, Daejeon, South Korea; Ulsan Natl Inst Sci & Technol UNIST, Cent Res Facil, Ulsan, South Korea; Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA USA; Sungkyunkwan Univ, Dept Energy Sci, Suwon, South Korea"
100,Graphene and Graphene-like Two-Dimensional Materials in Photodetection: Mechanisms and Methodology,"Sun, ZH Chang, HX",May 2014,ACS NANO,440,153,/wos/woscc/full-record/WOS:000336640600006,"Sun, ZH; Chang, HX","Huazhong Univ Sci & Technol, Sch Mat Sci & Engn, State Key Lab Mat Proc & Die & Mold Technol, Wuhan 430074, Peoples R China; PSL Res Univ, ESPCI ParisTech, Lab Phys & Etud Mat, F-75231 Paris 5, France; CNRS, UMR 8213, F-75005 Paris, France; Tohoku Univ, WPI Adv Inst Mat Res, Sendai, Miyagi 9808577, Japan"
101,Rise of silicene: A competitive 2D material,"Zhao, JJ Liu, HS ... Wu, KH",Oct 2016,PROGRESS IN MATERIALS SCIENCE,564,565,/wos/woscc/full-record/WOS:000386982100002,"Zhao, JJ; Liu, HS; Yu, ZM; Quhe, RG; Zhou, S; Wang, YY; Liu, CC; Zhong, HX; Han, NN; Lu, J; Yao, YG; Wu, KH","Dalian Univ Technol, Key Lab Mat Modificat Laser Ion & Electron Beams, Minist Educ, Dalian 116024, Peoples R China; Beijing Inst Technol, Sch Phys, Beijing 100081, Peoples R China; Peking Univ, State Key Lab Mesoscop Phys, Beijing 100871, Peoples R China; Peking Univ, Dept Phys, Beijing 100871, Peoples R China; Beijing Univ Posts & Telecommun, State Key Lab Informat Photon & Opt Commun, Beijing 100876, Peoples R China; Beijing Univ Posts & Telecommun, Sch Sci, Beijing 100876, Peoples R China; Collaborat Innovat Ctr Quantum Matter, Beijing 100871, Peoples R China; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Beijing 100190, Peoples R China; Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China"
102,Filling metal-organic framework mesopores with TiO(2)for CO(2)photoreduction,"Jiang, Z Xu, XH ... Deng, HX",Oct 22 2020,NATURE,239,38,/wos/woscc/full-record/WOS:000577298800001,"Jiang, Z; Xu, XH; Ma, YH; Cho, HS; Ding, D; Wang, C; Wu, J; Oleynikov, P; Jia, M; Cheng, J; Zhou, Y; Terasaki, O; Peng, TY; Zan, L; Deng, HX","Wuhan Univ, Coll Chem & Mol Sci, Key Lab Biomed Polymers, Minist Educ, Wuhan, Peoples R China; ShanghaiTech Univ, Sch Phys Sci & Technol, Shanghai, Peoples R China; Xiamen Univ, State Key Lab Phys Chem Solid Surfaces, Xiamen, Peoples R China; Wuhan Univ, Inst Adv Studies, Wuhan, Peoples R China"
103,Extraordinary optical transmission through sub-wavelength hole arrays,"Ebbesen, TW Lezec, HJ ... Wolff, PA",Feb 12 1998,NATURE,6580,17,/wos/woscc/full-record/WOS:000071982500043,"Ebbesen, TW; Lezec, HJ; Ghaemi, HF; Thio, T; Wolff, PA","NEC Res Inst, Princeton, NJ 08540 USA; Univ Strasbourg, ISIS, F-67000 Strasbourg, France; Micr Europe GmbH, D-85622 Feldkirchen, Germany; MIT, Dept Phys, Cambridge, MA 02139 USA"
104,Prospects of Nanoscience with Nanocrystals,"Kovalenko, MV Manna, L ... Heiss, W",Feb 2015,ACS NANO,841,516,/wos/woscc/full-record/WOS:000349940500003,"Kovalenko, MV; Manna, L; Cabot, A; Hens, Z; Talapin, DV; Kagan, CR; Klimov, VI; Rogach, AL; Reiss, P; Milliron, DJ; Guyot-Sionnnest, P; Konstantatos, G; Parak, WJ; Hyeon, T; Korgel, BA; Murray, CB; Heiss, W","ETH, Dept Chem & Appl Biosci, Inst Inorgan Chem, CH-8093 Zurich, Switzerland; EMPA Swiss Fed Labs Mat Sci & Technol, Lab Thin Films & Photovolta, CH-8600 Dubendorf, Switzerland; Italian Inst Technol, Nanochem Dept, Genoa, Italy; Delft Univ Technol, Kavli Inst NanoSci, NL-2628 CJ Delft, Netherlands; Catalonia Energy Res Inst, St Adria Del Besos 08930, Spain; ICREA, Barcelona 08010, Spain; Univ Ghent, B-9000 Ghent, Belgium; Univ Ghent, Ctr Nano & Biophoton, B-9000 Ghent, Belgium; Univ Chicago, Dept Chem, Chicago, IL 60637 USA; Univ Chicago, James Franck Inst, Chicago, IL 60637 USA; Argonne Natl Lab, Ctr Nanoscale Mat, Argonne, IL 60439 USA; Univ Penn, Dept Elect & Syst Engn, Philadelphia, PA 19104 USA; Univ Penn, Dept Mat Sci & Engn, Philadelphia, PA 19104 USA; Univ Penn, Dept Chem, Philadelphia, PA 19104 USA; Los Alamos Natl Lab, Div Chem, Los Alamos, NM 87545 USA; City Univ Hong Kong, Dept Phys & Mat Sci, Kowloon, Hong Kong, Peoples R China; City Univ Hong Kong, Ctr Funct Photon, Kowloon, Hong Kong, Peoples R China; Univ Grenoble Alpes, CNRS, CEA INAC, UMR SPrAM 5819,Lab Elect Mol Organ & Hybride, F-38054 Grenoble, France; Univ Texas Austin, McKetta Dept Chem Engn, Austin, TX 78712 USA; Univ Marburg, Marburg, Germany; CIC Biomagune, San Sebastian, Spain; Inst for Basic Sci Korea, Ctr Nanoparticle Res, Seoul 151742, South Korea; Seoul Natl Univ, Sch Chem & Biol Engn, Seoul 151742, South Korea; ICFO, Inst Photon Sci, Castelldefels 08860, Spain; Univ Texas Austin, Texas Mat Inst, Ctr Nano & Mol Sci & Technol, Austin, TX 78712 USA; Johannes Kepler Univ Linz, Inst Semicond & Solid State Phys, A-4040 Linz, Austria; Univ Erlangen Nurnberg, Mat Elect & Energy Technol iMEET, D-91058 Erlangen, Germany; Energie Campus Nurnberg, D-90429 Nurnberg, Germany"
105,Photoluminescent Ti3C2 MXene Quantum Dots for Multicolor Cellular Imaging,"Xue, Q Zhang, HJ ... Zhi, CY",Apr 18 2017,ADVANCED MATERIALS,484,55,/wos/woscc/full-record/WOS:000399313400008,"Xiao, R; Zhao, CX; Zou, ZY; Chen, ZP; Tian, L; Xu, HT; Tang, H; Liu, QQ; Lin, ZX; Yang, XF","Jiangsu Univ, Sch Mat Sci & Engn, Zhenjiang 212013, Jiangsu, Peoples R China; Nanjing Forestry Univ, Coll Sci, Inst Mat Phys & Chem, Nanjing 210037, Peoples R China; Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China; Swiss Fed Inst Technol, Dept Chem & Appl Biosci, Inst Chem & Bioengn, CH-8093 Zurich, Switzerland; Yangzhou Univ, Testing Ctr, Yangzhou 225009, Jiangsu, Peoples R China; Fuzhou Univ, State Key Lab Photocatalysis Energy & Environm, Fuzhou 350116, Peoples R China; Harbin Normal Univ, Sch Phys & Elect Engn, Key Lab Photon & Elect Bandgap Mat, Minist Educ, Harbin 150025, Peoples R China"
106,In situ fabrication of 1D CdS nanorod/2D Ti3C2 MXene nanosheet Schottky heterojunction toward enhanced photocatalytic hydrogen evolution,"Xiao, R Zhao, CX ... Yang, XF",Jul 5 2020,APPLIED CATALYSIS B-ENVIRONMENTAL,251,51,/wos/woscc/full-record/WOS:000521513300028,"Xue, Q; Zhang, HJ; Zhu, MS; Pei, ZX; Li, HF; Wang, ZF; Huang, Y; Huang, Y; Deng, QH; Zhou, J; Du, SY; Huang, Q; Zhi, CY","City Univ Hong Kong, Dept Phys & Mat Sci, Hong Kong, Hong Kong, Peoples R China; Jiangnan Univ, Sch Biotechnol, Minist Educ, Key Lab Carbohydrate Chem & Biotechnol, Wuxi 214122, Jiangsu, Peoples R China; Chinese Acad Sci, Engn Lab Specialty Fibers & Nucl Energy Mat, Ningbo Inst Mat Engn & Technol, Ningbo 315201, Zhejiang, Peoples R China; City Univ Hong Kong, Shenzhen Res Inst, Shenzhen 518057, Peoples R China"
107,Layer-controlled band gap and anisotropic excitons in few-layer black phosphorus,"Tran, V Soklaski, R ... Yang, L",Jun 26 2014,PHYSICAL REVIEW B,1474,37,/wos/woscc/full-record/WOS:000338282800005,"Tran, V; Soklaski, R; Liang, YF; Yang, L","Washington Univ, Dept Phys, St Louis, MO 63136 USA"
108,Upconversion and Downconversion Fluorescent Graphene Quantum Dots: Ultrasonic Preparation and Photocatalysis,"Zhuo, SJ Shao, MW Lee, ST",Feb 2012,ACS NANO,791,27,/wos/woscc/full-record/WOS:000300757900009,"Zhuo, SJ; Shao, MW; Lee, ST","Soochow Univ, Inst Funct Nano & Soft Mat FUNSOM, Suzhou 215123, Jiangsu, Peoples R China; Soochow Univ, Jiangsu Key Lab Carbon Based Funct Mat & Devices, Suzhou 215123, Jiangsu, Peoples R China; Anhui Normal Univ, Coll Chem & Mat Sci, Anhui Key Lab Funct Mol Solids, Wuhu 241000, Peoples R China; City Univ Hong Kong, Ctr Super Diamond & Adv Films, Hong Kong, Hong Kong, Peoples R China; City Univ Hong Kong, Dept Phys & Mat Sci, Hong Kong, Hong Kong, Peoples R China"
109,Plasmon lasers at deep subwavelength scale,"Oulton, RF Sorger, VJ ... Zhang, X",Oct 1 2009,NATURE,2010,30,/wos/woscc/full-record/WOS:000270302600035,"Oulton, RF; Sorger, VJ; Zentgraf, T; Ma, RM; Gladden, C; Dai, L; Bartal, G; Zhang, X","Univ Calif Berkeley, NSF Nanoscale Sci & Engn Ctr, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Div Mat Sci, Berkeley, CA 94720 USA; Peking Univ, Sch Phys, Beijing 100871, Peoples R China; Peking Univ, State Key Lab Mesoscop Phys, Beijing 100871, Peoples R China"
110,Ab-initio simulations of materials using VASP: Density-functional theory and beyond,"Hafner, J",Oct 2008,JOURNAL OF COMPUTATIONAL CHEMISTRY,1776,368,/wos/woscc/full-record/WOS:000258764600002,"Hafner, J","Univ Vienna, Fac Phys, A-1090 Vienna, Austria; Univ Vienna, Ctr Computat Mat Sci, A-1090 Vienna, Austria"
111,A Magnetofluorescent Carbon Dot Assembly as an Acidic H2O2-Driven Oxygenerator to Regulate Tumor Hypoxia for Simultaneous Bimodal Imaging and Enhanced Photodynamic Therapy,"Jia, QY Ge, JC ... Wang, PF",Mar 27 2018,ADVANCED MATERIALS,331,118,/wos/woscc/full-record/WOS:000428793600016,"Jia, QY; Ge, JC; Liu, WM; Zheng, XL; Chen, SQ; Wen, YM; Zhang, HY; Wang, PF","Chinese Acad Sci, Key Lab Photochem Convers & Optoelect Mat, Tech Inst Phys & Chem, Beijing 100190, Peoples R China; Chinese Acad Sci, CityU CAS Joint Lab Funct Mat & Devices, Tech Inst Phys & Chem, Beijing 100190, Peoples R China; Univ Chinese Acad Sci, Sch Future Technol, Beijing 100049, Peoples R China"
112,Maximizing and stabilizing luminescence from halide perovskites with potassium passivation,"Abdi-Jalebi, M Andaji-Garmaroudi, Z ... Stranks, SD",Mar 22 2018,NATURE,1001,36,/wos/woscc/full-record/WOS:000427937900048,"Di, TM; Zhu, BC; Cheng, B; Yu, JG; Xu, JS","Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China; King Abdulaziz Univ, Fac Sci, Dept Phys, Jeddah 21589, Saudi Arabia; Queensland Univ Technol, Sch Chem Phys & Mech Engn, Brisbane, Qld 4001, Australia"
113,A direct Z-scheme g-C3N4/SnS2 photocatalyst with superior visible-light CO2 reduction performance,"Di, TM Zhu, BC ... Xu, JS",Aug 2017,JOURNAL OF CATALYSIS,567,64,/wos/woscc/full-record/WOS:000408299600054,"Li, JT; Cushing, SK; Zheng, P; Senty, T; Meng, FK; Bristow, AD; Manivannan, A; Wu, NQ","W Virginia Univ, Dept Mech & Aerosp Engn, Morgantown, WV 26506 USA; W Virginia Univ, Dept Phys & Astron, Morgantown, WV 26506 USA; US DOE, Natl Energy Technol Lab, Morgantown, WV 26507 USA"
114,Solar Hydrogen Generation by a CdS-Au-TiO2 Sandwich Nanorod Array Enhanced with Au Nanoparticle as Electron Relay and Plasmonic Photosensitizer,"Li, JT Cushing, SK ... Wu, NQ",Jun 11 2014,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,476,83,/wos/woscc/full-record/WOS:000337336800045,"Abdi-Jalebi, M; Andaji-Garmaroudi, Z; Cacovich, S; Stavrakas, C; Philippe, B; Richter, JM; Alsari, M; Booker, EP; Hutter, EM; Pearson, AJ; Lilliu, S; Savenije, TJ; Rensmo, H; Divitini, G; Ducati, C; Friend, RH; Stranks, SD","Univ Cambridge, Dept Phys, Cavendish Lab, JJ Thomson Ave, Cambridge CB3 0HE, England; Univ Cambridge, Dept Mat Sci & Met, 27 Charles Babbage Rd, Cambridge CB3 0FS, England; Uppsala Univ, Dept Phys & Astron, Box 516, S-75120 Uppsala, Sweden; Delft Univ Technol, Dept Chem Engn, van der Maasweg 9, NL-2629 HZ Delft, Netherlands; Univ Sheffield, Dept Phys & Astron, Sheffield S3 7RH, S Yorkshire, England; UAE Ctr Crystallog, Abu Dhabi, U Arab Emirates"
115,ACCURATE AND SIMPLE ANALYTIC REPRESENTATION OF THE ELECTRON-GAS CORRELATION-ENERGY,"PERDEW, JP WANG, Y",Jun 15 1992,PHYSICAL REVIEW B,20729,28,/wos/woscc/full-record/WOS:A1992HZ24500006,"KRESSE, G; HAFNER, J","VIENNA TECH UNIV, INST THEORET PHYS, WIEDNER HAUPTSTR 8-10, A-1040 VIENNA, AUSTRIA"
116,AB-INITIO MOLECULAR-DYNAMICS SIMULATION OF THE LIQUID-METAL AMORPHOUS-SEMICONDUCTOR TRANSITION IN GERMANIUM,"KRESSE, G HAFNER, J",May 15 1994,PHYSICAL REVIEW B,12733,106,/wos/woscc/full-record/WOS:A1994NR42300018,"PERDEW, JP; WANG, Y","TULANE UNIV, QUANTUM THEORY GRP, NEW ORLEANS, LA 70118 USA"
117,Electric-field control of tri-state phase transformation with a selective dual-ion switch,"Lu, NP Zhang, PF ... Yu, P",Jun 1 2017,NATURE,411,50,/wos/woscc/full-record/WOS:000402372800040,"Lu, NP; Zhang, PF; Zhang, QH; Qiao, RM; He, Q; Li, HB; Wang, YJ; Guo, JW; Zhang, D; Duan, Z; Li, ZL; Wang, M; Yang, SZ; Yan, MZ; Arenholz, E; Zhou, SY; Yang, WL; Gu, L; Nan, CW; Wu, J; Tokura, Y; Yu, P","Tsinghua Univ, State Key Lab Low Dimens Quantum Phys, Beijing 100084, Peoples R China; Tsinghua Univ, Dept Phys, Beijing 100084, Peoples R China; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Beijing 100190, Peoples R China; Tsinghua Univ, Sch Mat Sci & Engn, State Key Lab New Ceram & Fine Proc, Beijing 100084, Peoples R China; Lawrence Berkeley Natl Lab, Adv Light Source, Berkeley, CA 94720 USA; Univ Durham, Dept Phys, Durham DH1 3LE, England; Collaborat Innovat Ctr Quantum Matter, Beijing 100084, Peoples R China; RIKEN, Ctr Emergent Matter Sci, Wako, Saitama 351198, Japan"
118,Boosting Photocatalytic Hydrogen Production of a Metal-Organic Framework Decorated with Platinum Nanoparticles: The Platinum Location Matters,"Xiao, JD Shang, QC ... Jiang, HL",Aug 1 2016,ANGEWANDTE CHEMIE-INTERNATIONAL EDITION,376,58,/wos/woscc/full-record/WOS:000383371800050,"Wang, L; Zhu, SJ; Wang, HY; Qu, SN; Zhang, YL; Zhang, JH; Chen, QD; Xu, HL; Han, W; Yang, B; Sun, HB","Jilin Univ, Coll Elect Sci & Engn, State Key Lab Integrated Optoelect, Changchun 130012, Peoples R China; Jilin Univ, Coll Chem, State Key Lab Supramol Struct & Mat, Changchun 130012, Peoples R China; Jilin Univ, Coll Phys, Changchun 130012, Peoples R China; Chinese Acad Sci, State Key Lab Luminescence & Applicat, Changchun Inst Opt Fine Mech & Phys, Changchun 130033, Peoples R China"
119,Common Origin of Green Luminescence in Carbon Nanodots and Graphene Quantum Dots,"Wang, L Zhu, SJ ... Sun, HB",Mar 2014,ACS NANO,604,35,/wos/woscc/full-record/WOS:000333539400067,"Xiao, JD; Shang, QC; Xiong, YJ; Zhang, Q; Luo, Y; Yu, SH; Jiang, HL","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Collaborat Innovat Ctr Suzhou Nano Sci & Technol, CAS Key Lab Soft Matter Chem,Dept Chem, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Synerget Innovat Ctr Quantum Informat & Quantum P, Dept Chem Phys, Hefei Sci Ctr,CAS, Hefei 230026, Anhui, Peoples R China"
120,Recent progress in 2D group-VA semiconductors: from theory to experiment,"Zhang, SL Guo, SY ... Zeng, HB",Feb 7 2018,CHEMICAL SOCIETY REVIEWS,580,360,/wos/woscc/full-record/WOS:000424136900010,"Zhang, SL; Guo, SY; Chen, ZF; Wang, YL; Gao, HJ; Gomez-Herrero, J; Ares, P; Zamora, F; Zhu, Z; Zeng, HB","Nanjing Univ Sci & Technol, Minist Ind & Informat Technol, MIIT Key Lab Adv Display Mat & Devices, Inst Optoelect & Nanomat, Nanjing 210094, Jiangsu, Peoples R China; Univ Puerto Rico, Dept Chem, Inst Funct Nanomat, San Juan, PR 00931 USA; Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China; Chinese Acad Sci, Univ Chinese Acad Sci, Beijing 100190, Peoples R China; Univ Autonoma Madrid, Dept Fis Mat Condensada, E-28049 Madrid, Spain; Univ Autonoma Madrid, Dept Quim Inorgan, E-28049 Madrid, Spain; Univ Calif Santa Barbara, Dept Mat, Santa Barbara, CA 93106 USA"
121,Compact and uniform TiO2@g-C3N4 core-shell quantum heterojunction for photocatalytic degradation of tetracycline antibiotics,"Wang, W Fang, JJ ... Lu, CH",Nov 15 2017,APPLIED CATALYSIS B-ENVIRONMENTAL,241,45,/wos/woscc/full-record/WOS:000405158000007,"Wang, W; Fang, JJ; Shao, SF; Lai, M; Lu, CH","Nanjing Univ Informat Sci & Technol, Sch Phys & Optoelect Engn, Jiangsu Key Lab Optoelect Detect Atmosphere & Oce, Nanjing 210044, Jiangsu, Peoples R China; Nanjing Tech Univ, Jiangsu Collaborat Innovat Ctr Adv Inorgan Funct, Nanjing 210009, Jiangsu, Peoples R China"
122,Anomalous Hall effect,"Nagaosa, N Sinova, J ... Ong, NP",May 13 2010,REVIEWS OF MODERN PHYSICS,2576,210,/wos/woscc/full-record/WOS:000278228900001,"Nagaosa, N; Sinova, J; Onoda, S; MacDonald, AH; Ong, NP","Univ Tokyo, Dept Appl Phys, Tokyo 1138656, Japan; RIKEN, ASI, CERG, Wako, Saitama 3510198, Japan; RIKEN, ASI, CMRG, Wako, Saitama 3510198, Japan; Texas A&M Univ, Dept Phys, College Stn, TX 77843 USA; Inst Phys ASCR, Prague 16253 6, Czech Republic; RIKEN, ASI, Condensed Matter Theory Lab, Wako, Saitama 3510198, Japan; Univ Texas Austin, Dept Phys, Austin, TX 78712 USA; Princeton Univ, Dept Phys, Princeton, NJ 08544 USA"
123,A graphene quantum dot photodynamic therapy agent with high singlet oxygen generation,"Ge, JC Lan, MH ... Han, XD",Aug 2014,NATURE COMMUNICATIONS,978,44,/wos/woscc/full-record/WOS:000341056200001,"Ge, JC; Lan, MH; Zhou, BJ; Liu, WM; Guo, L; Wang, H; Jia, QY; Niu, GL; Huang, X; Zhou, HY; Meng, XM; Wang, PF; Lee, CS; Zhang, WJ; Han, XD","Chinese Acad Sci, TIPC, Key Lab Photochem Convers & Optoelectron Mat, Beijing 100190, Peoples R China; City Univ Hong Kong, Ctr Super Diamond & Adv Films COSDAF, Hong Kong 999077, Hong Kong, Peoples R China; City Univ Hong Kong, Dept Phys & Mat Sci, Hong Kong 999077, Hong Kong, Peoples R China; Beijing Univ Technol, Inst Microstructure & Properties Adv Mat, Beijing 100124, Peoples R China"
124,Graphene-Based Materials for Hydrogen Generation from Light-Driven Water Splitting,"Xie, GC Zhang, K ... Gong, JR",Jul 26 2013,ADVANCED MATERIALS,585,226,/wos/woscc/full-record/WOS:000327749400005,"Xie, GC; Zhang, K; Guo, BD; Liu, Q; Fang, L; Gong, JR","Natl Ctr Nanosci & Technol, Beijing 100190, Peoples R China; Chongqing Univ, Dept Appl Phys, Chongqing 400044, Peoples R China"
125,Atomically Thin MoS2: A New Direct-Gap Semiconductor,"Mak, KF Lee, C ... Heinz, TF",Sep 24 2010,PHYSICAL REVIEW LETTERS,10373,31,/wos/woscc/full-record/WOS:000282136900010,"Zhu, FF; Chen, WJ; Xu, Y; Gao, CL; Guan, DD; Liu, CH; Qian, D; Zhang, SC; Jia, JF","Shanghai Jiao Tong Univ, Dept Phys & Astron, Minist Educ, Key Lab Artificial Struct & Quantum Control, Shanghai 200240, Peoples R China; Stanford Univ, Dept Phys, Stanford, CA 94305 USA; Tsinghua Univ, Dept Phys, Beijing 100084, Peoples R China; Tsinghua Univ, Inst Adv Study, Beijing 100084, Peoples R China; Collaborat Innovat Ctr Quantum Matter, Beijing 100084, Peoples R China; Collaborat Innovat Ctr Adv Microstruct, Nanjing 210093, Jiangsu, Peoples R China"
126,Epitaxial growth of two-dimensional stanene,"Zhu, FF Chen, WJ ... Jia, JF",Oct 2015,NATURE MATERIALS,1190,26,/wos/woscc/full-record/WOS:000361771800022,"Mak, KF; Lee, C; Hone, J; Shan, J; Heinz, TF","Columbia Univ, Dept Phys, New York, NY 10027 USA; Columbia Univ, Dept Elect Engn, New York, NY 10027 USA; Sungkyunkwan Univ, Dept Mech Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Columbia Univ, Dept Mech Engn, New York, NY 10027 USA; Case Western Reserve Univ, Dept Phys, Cleveland, OH 44106 USA"
127,Porous P-doped graphitic carbon nitride nanosheets for synergistically enhanced visible-light photocatalytic H-2 production,"Ran, JR Ma, TY ... Qiao, SZ",2015,ENERGY & ENVIRONMENTAL SCIENCE,943,72,/wos/woscc/full-record/WOS:000365412300028,"Ran, JR; Ma, TY; Gao, GP; Du, XW; Qiao, SZ","Univ Adelaide, Sch Chem Engn, Adelaide, SA 5005, Australia; Queensland Univ Technol, Sch Chem, Phys & Mech Engn Fac, Brisbane, Qld 4001, Australia; Tianjin Univ, Sch Mat Sci & Engn, Tianjin 300072, Peoples R China"
128,Recent progress on highly sensitive perovskite photodetectors,"Miao, JL Zhang, FJ",Feb 21 2019,JOURNAL OF MATERIALS CHEMISTRY C,257,272,/wos/woscc/full-record/WOS:000459725400001,"Miao, JL; Zhang, FJ","Beijing Jiaotong Univ, Minist Educ, Key Lab Luminescence & Opt Informat, Beijing 100044, Peoples R China"
129,High phase-purity 1T'-MoS2- and 1T'-MoSe2- layered crystals,"Yu, YF Nam, GH ... Zhang, H",Jun 2018,NATURE CHEMISTRY,555,32,/wos/woscc/full-record/WOS:000432991800011,"Yu, YF; Nam, GH; He, QY; Wu, XJ; Zhang, K; Yang, ZZ; Chen, JZ; Ma, QL; Zhao, MT; Liu, ZQ; Ran, FR; Wang, XZ; Li, H; Huang, X; Li, B; Xiong, QH; Zhang, Q; Liu, Z; Gu, L; Du, YH; Huang, W; Zhang, H","Nanyang Technol Univ, Sch Mat Sci & Engn, Ctr Programmable Mat, Singapore, Singapore; Tianjin Univ, Sch Sci, Dept Chem, Tianjin, Peoples R China; Collaborat Innovat Ctr Chem Sci & Engn, Tianjin, Peoples R China; Nanyang Technol Univ, Interdisciplinary Grad Sch, HealthTech NTU, Singapore, Singapore; Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore, Singapore; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Beijing, Peoples R China; Nanjing Tech Univ NanjingTech, KLOFE, Nanjing, Jiangsu, Peoples R China; Nanjing Tech Univ NanjingTech, IAM, Nanjing, Jiangsu, Peoples R China; Nanyang Technol Univ, Sch Phys & Math Sci, Div Phys & Appl Phys, Singapore, Singapore; ASTAR, Inst Mat Res & Engn, Singapore, Singapore; Collaborat Innovat Ctr Quantum Matter, Beijing, Peoples R China; Univ Chinese Acad Sci, Sch Phys Sci, Beijing, Peoples R China; ASTAR, Inst Chem & Engn Sci, Singapore, Singapore; Nanjing Univ Posts & Telecommun, Key Lab Organ Elect & Informat Displays, Nanjing, Jiangsu, Peoples R China; Nanjing Univ Posts & Telecommun, Inst Adv Mat, Jiangsu Natl Synergist Innovat Ctr Adv Mat SICAM, Nanjing, Jiangsu, Peoples R China; NPU, SIFE, Xian, Shaanxi, Peoples R China"
130,High-Performance Perovskite-Graphene Hybrid Photodetector,"Lee, Y Kwon, J ... Cho, JH",Jan 2015,ADVANCED MATERIALS,464,40,/wos/woscc/full-record/WOS:000347239600005,"Lee, Y; Kwon, J; Hwang, E; Ra, CH; Yoo, WJ; Ahn, JH; Park, JH; Cho, JH","Sungkyunkwan Univ, Sch Chem Engn, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Sungkyunkwan Univ, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Sungkyunkwan Univ, Sch Chem Engn, Suwon 440746, South Korea; Sungkyunkwan Univ, Dept Phys, SKKU Adv Inst Nanotechnol SAINT, Suwon 440746, South Korea; Yonsei Univ, Sch Elect & Elect Engn, Seoul 120749, South Korea"
131,A hybridization model for the plasmon response of complex nanostructures,"Prodan, E Radloff, C ... Nordlander, P",Oct 17 2003,SCIENCE,3160,22,/wos/woscc/full-record/WOS:000185963200034,"Prodan, E; Radloff, C; Halas, NJ; Nordlander, P","Rice Univ, Dept Chem, Houston, TX 77251 USA; Rice Univ, Dept Phys, Houston, TX 77251 USA; Rice Univ, Dept Elect & Comp Engn, Houston, TX 77251 USA; Rice Univ, Rice Quantum Inst, Houston, TX 77251 USA"
