,authors_full,affiliation
48,"Kumar, S; Saeed, G; Zhu, L; Hui, KN; Kim, NH; Lee, JH","Shenzhen Univ, Coll Phys & Optoelect Engn, Nanhai Ave 3688, Shenzhen 518060, Guangdong, Peoples R China; Chonbuk Natl Univ, Adv Mat Inst BIN Convergence Technol BK21 Plus Gl, Jeonju 54896, Jeonbuk, South Korea; Chonbuk Natl Univ, Dept BIN Convergence Technol, Jeonju 54896, Jeonbuk, South Korea; Univ Macau, Inst Appl Phys & Mat Engn, Minist Educ, Joint Key Lab, Ave Univ, Taipa, Macau, Peoples R China; Univ Macau, Fac Sci & Technol, Dept Chem & Phys, Ave Univ, Taipa, Macau, Peoples R China; Chonbuk Natl Univ, Carbon Composite Res Ctr, Dept Polymernano Sci & Technol, Jeonju 54896, Jeonbuk, South Korea"
49,"Dabbousi, BO; RodriguezViejo, J; Mikulec, FV; Heine, JR; Mattoussi, H; Ober, R; Jensen, KF; Bawendi, MG","MIT, DEPT CHEM, CAMBRIDGE, MA 02139 USA; MIT, DEPT CHEM ENGN, CAMBRIDGE, MA 02139 USA; MIT, DEPT MAT SCI & ENGN, CAMBRIDGE, MA 02139 USA; COLL FRANCE, PHYS MAT CONDENSEE LAB, F-75231 PARIS 05, FRANCE"
50,"Ran, JR; Gao, GP; Li, FT; Ma, TY; Du, AJ; Qiao, SZ","Univ Adelaide, Sch Chem Engn, Adelaide, SA 5005, Australia; Queensland Univ Technol, Phys & Mech Engn Fac, Sch Chem, Garden Point Campus, Brisbane, Qld 4001, Australia; Hebei Univ Sci & Technol, Coll Sci, Shijiazhuang 050018, Peoples R China"
51,"Dong, YQ; Pang, HC; Yang, HB; Guo, CX; Shao, JW; Chi, YW; Li, CM; Yu, T","Nanyang Technol Univ, Sch Chem & Biomed Engn, Singapore 637457, Singapore; Nanyang Technol Univ, Ctr Adv Bionanosyst, Singapore 637457, Singapore; Nanyang Technol Univ, Div Phys & Appl Phys, Sch Phys & Math Sci, Singapore 637371, Singapore; Nanyang Technol Univ, Dept Phys, Fac Sci, Singapore 117542, Singapore; Southwest Univ, Inst Clean Energy & Adv Mat, Chongqing 400715, Peoples R China; Chongqing Key Lab Adv Mat & Technol Clean Energie, Chongqing 400715, Peoples R China; Fuzhou Univ, Coll Chem & Chem Engn, Fuzhou 350108, Peoples R China"
52,"Cai, JM; Ruffieux, P; Jaafar, R; Bieri, M; Braun, T; Blankenburg, S; Muoth, M; Seitsonen, AP; Saleh, M; Feng, XL; Mullen, K; Fasel, R","Empa, Swiss Fed Labs Mat Sci & Technol, Nanotech Surfaces Lab, CH-3602 Thun, Switzerland; Empa, Swiss Fed Labs Mat Sci & Technol, Nanotech Surfaces Lab, CH-8600 Dubendorf, Switzerland; ETH, Dept Mech & Proc Engn Micro & Nanosyst, CH-8092 Zurich, Switzerland; Univ Zurich, Inst Phys Chem, CH-8057 Zurich, Switzerland; CNRS, IMPMC, F-75252 Paris, France; Univ Paris 06, F-75252 Paris, France; Max Planck Inst Polymer Res, D-55124 Mainz, Germany; Univ Bern, Dept Chem & Biochem, CH-3012 Bern, Switzerland"
53,"Ge, JC; Jia, QY; Liu, WM; Guo, L; Liu, QY; Lan, MH; Zhang, HY; Meng, XM; Wang, PF","Chinese Acad Sci, Tech Inst Phys & Chem, Key Lab Photochem Convers & Optoelect Mat, Beijing 100190, Peoples R China; Shandong Univ Sci & Technol, Coll Chem & Environm Engn, Qingdao 266510, Peoples R China"
54,"Chang, CZ; Zhang, JS; Feng, X; Shen, J; Zhang, ZC; Guo, MH; Li, K; Ou, YB; Wei, P; Wang, LL; Ji, ZQ; Feng, Y; Ji, SH; Chen, X; Jia, JF; Dai, X; Fang, Z; Zhang, SC; He, K; Wang, YY; Lu, L; Ma, XC; Xue, QK","Tsinghua Univ, State Key Lab Low Dimens Quantum Phys, Dept Phys, Beijing 100084, Peoples R China; Chinese Acad Sci, Beijing Natl Lab Condensed Matter Phys, Inst Phys, Beijing 100190, Peoples R China; Stanford Univ, Dept Phys, Stanford, CA 94305 USA"
55,"Fang, XZ; Shang, QC; Wang, Y; Jiao, L; Yao, T; Li, YF; Zhang, Q; Luo, Y; Jiang, HL","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Collaborat Innovat Ctr Suzhou Nano Sci & Technol, CAS Key Lab Soft Matter Chem,Dept Chem, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Synerget Innovat Ctr Quantum Informat & Quantum P, Dept Chem Phys, Hefei 230026, Anhui, Peoples R China; Nanjing Normal Univ, Coll Chem & Mat Sci, Nanjing 210023, Jiangsu, Peoples R China; Univ Sci & Technol China, Natl Synchrotron Radiat Lab, Hefei 230026, Anhui, Peoples R China"
56,"KRESSE, G; HAFNER, J","VIENNA TECH UNIV,INST THEORET PHYS,WIEDNER HAUPTSTR 8-10,A-1040 VIENNA,AUSTRIA"
57,"PERDEW, JP; CHEVARY, JA; VOSKO, SH; JACKSON, KA; PEDERSON, MR; SINGH, DJ; FIOLHAIS, C","TULANE UNIV, QUANTUM THEORY GRP, NEW ORLEANS, LA 70118 USA; UNIV TORONTO, DEPT PHYS, TORONTO M5S 1A7, ONTARIO, CANADA; USN, RES LAB, COMPLEX SYST THEORY BRANCH, WASHINGTON, DC 20375 USA; UNIV COIMBRA, DEPT PHYS, P-3000 COIMBRA, PORTUGAL"
58,"Shi, XL; Zou, J; Chen, ZG","Univ Southern Queensland, Ctr Future Mat, Springfield Cent, Toowoomba, Qld 4300, Australia; Univ Queensland, Sch Mech & Min Engn, Brisbane, Qld 4072, Australia; Univ Queensland, Ctr Microscopy & Microanal, Brisbane, Qld 4072, Australia"
59,"Peumans, P; Yakimov, A; Forrest, SR","Princeton Univ, Dept Elect Engn, Princeton, NJ 08544 USA; Princeton Univ, POEM, Princeton Mat Inst, Princeton, NJ 08544 USA"
60,"Brongersma, ML; Halas, NJ; Nordlander, P","Stanford Univ, Geballe Lab Adv Mat, Stanford, CA 94305 USA; Stanford Inst Mat & Energy Sci, SLAC Natl Accelerator Lab, Menlo Pk, CA 94025 USA; Rice Univ, Dept Elect & Comp Engn, Dept Phys & Astron, Lab Nanophoton, Houston, TX 77005 USA; Rice Univ, Dept Mat Sci & Nanoengn, Houston, TX 77005 USA"
61,"Du, ZZ; Chen, XJ; Hu, W; Chuang, CH; Xie, S; Hu, AJ; Yan, WS; Kong, XH; Wu, XJ; Ji, HX; Wan, LJ","Hefei Univ Technol, Sch Chem & Chem Engn, Hefei 230009, Anhui, Peoples R China; Univ Sci & Technol China, Dept Appl Chem, Hefei Natl Lab Phys Sci Microscale, CAS Key Lab Mat Energy Convers,iChEM, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, CAS Key Lab Mat Energy Convers, Hefei Natl Lab Phys Sci Microscale, Synerget Innovat Quantum Informat & Quantum Techn, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Dept Mat Sci & Engn, CAS Ctr Excellence Nanosci, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Natl Synchrotron Radiat Lab, Hefei 230026, Anhui, Peoples R China; Tamkang Univ, Dept Phys, New Taipei 251, Taiwan; Chinese Acad Sci, Inst Chem, CAS Key Lab Mol Nanostruct & Nanotechnol, Beijing 100190, Peoples R China"
62,"Das Sarma, S; Adam, S; Hwang, EH; Rossi, E","Univ Maryland, Dept Phys, Condensed Matter Theory Ctr, College Pk, MD 20742 USA; NIST, Ctr Nanoscale Sci & Technol, Gaithersburg, MD 20899 USA"
63,"Giannozzi, P; Baroni, S; Bonini, N; Calandra, M; Car, R; Cavazzoni, C; Ceresoli, D; Chiarotti, GL; Cococcioni, M; Dabo, I; Dal Corso, A; de Gironcoli, S; Fabris, S; Fratesi, G; Gebauer, R; Gerstmann, U; Gougoussis, C; Kokalj, A; Lazzeri, M; Martin-Samos, L; Marzari, N; Mauri, F; Mazzarello, R; Paolini, S; Pasquarello, A; Paulatto, L; Sbraccia, C; Scandolo, S; Sclauzero, G; Seitsonen, AP; Smogunov, A; Umari, P; Wentzcovitch, RM","CNR INFM Democritos Natl Simulat Ctr, I-34100 Trieste, Italy; Univ Udine, Dipartimento Fis, I-33100 Udine, Italy; Scuola Int Super Studi Avanzati, SISSA, I-34151 Trieste Grignano, Italy; MIT, Dept Mat Sci & Engn, Cambridge, MA 02139 USA; Univ Paris 06, Inst Mineral & Phys Milieux Condenses, CNRS, IPGP, F-75015 Paris, France; Princeton Univ, Dept Chem, Princeton, NJ 08544 USA; CINECA Natl Supercomp Ctr, I-40033 Bologna, Italy; CNR, INFM, Res Ctr S3, I-41100 Modena, Italy; SPIN Srl, I-34148 Trieste, Italy; Univ Minnesota, Dept Chem Engn & Mat Sci, Minneapolis, MN 55455 USA; Univ Paris Est, CERMICS, Projet Micmac ENPC INRIA, F-77455 Marne La Vallee 2, France; Univ Milano Bicocca, Dipartimento Sci Mat, I-20125 Milan, Italy; Abdus Salam Int Ctr Theoret Phys, I-34151 Trieste Grignano, Italy; Univ Gesamthsch Paderborn, D-33098 Paderborn, Germany; Jozef Stefan Inst, SI-1000 Ljubljana, Slovenia; Swiss Fed Inst Technol, Dept Chem & Appl Biosci, CH-6900 Lugano, Switzerland; Ecole Polytech Fed Lausanne, Inst Theoret Phys, CH-1015 Lausanne, Switzerland; PHB Ecublens, Inst Romand Rech Numer Phys Mat, CH-1015 Lausanne, Switzerland; Univ Minnesota, Minnesota Supercomp Inst Adv Computat Res, Minneapolis, MN 55455 USA"
64,"Shang, L; Dong, SJ; Nienhaus, GU","KIT, Inst Appl Phys, D-76131 Karlsruhe, Germany; KIT, CFN, D-76131 Karlsruhe, Germany; Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Electroanalyt Chem, Changchun 130022, Peoples R China; Univ Illinois, Dept Phys, Urbana, IL 61801 USA"
65,"Yan, JQ; Wu, H; Chen, H; Zhang, YX; Zhang, FX; Liu, SF","Shaanxi Normal Univ, Sch Mat Sci & Engn, Shaanxi Engn Lab Adv Energy Technol, Xian 710119, Peoples R China; Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Catalysis, Dalian Natl Lab Clean Energy,iChEM, Dalian 116023, Peoples R China"
66,"Deng, YJ; Yu, YJ; Song, YC; Zhang, JZ; Wang, NZ; Sun, ZY; Yi, YF; Wu, YZ; Wu, SW; Zhu, JY; Wang, J; Chen, XH; Zhang, YB","Fudan Univ, State Key Lab Surface Phys, Shanghai, Peoples R China; Fudan Univ, Dept Phys, Shanghai, Peoples R China; Nanjing Univ, Collaborat Innovat Ctr Adv Microstruct, Nanjing, Jiangsu, Peoples R China; Fudan Univ, Inst Nanoelect Devices & Quantum Comp, Shanghai, Peoples R China; Chinese Univ Hong Kong, Dept Phys, Shatin, Hong Kong, Peoples R China; Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei, Anhui, Peoples R China; Univ Sci & Technol China, Dept Phys, Hefei, Anhui, Peoples R China; Univ Sci & Technol China, Key Lab Strongly Coupled Quantum Matter Phys, Hefei, Anhui, Peoples R China"
67,"Kango, S; Kalia, S; Celli, A; Njuguna, J; Habibi, Y; Kumar, R","Jaypee Univ Informat Technol, Dept Phys & Mat Sci, Waknaghat 173234, HP, India; Univ Bologna, Dept Civil Chem Environm & Mat Engn, I-40131 Bologna, Italy; Bahra Univ, Dept Chem, Waknaghat Shimla Hills 173234, HP, India; Cranfield Univ, Sch Appl Sci, Cranfield MK43 0AL, Beds, England; Univ Mons, Lab Polymer & Composite Mat, B-7000 Mons, Belgium"
68,"Li, Q; Li, X; Wageh, S; Al-Ghamdi, AA; Yu, JG","Wuhan Univ Technol, State Key Lab Adv Technol Mat Synth & Proc, Wuhan 430070, Peoples R China; South China Agr Univ, Coll Mat & Energy, Guangzhou 510642, Guangdong, Peoples R China; King Abdulaziz Univ, Dept Phys, Fac Sci, Jeddah 21589, Saudi Arabia; State Ethn Affairs Commiss, Key Lab Catalysis & Mat Sci, Wuhan 430074, Peoples R China; South Cent Univ Nationalities, Minist Educ, Wuhan 430074, Peoples R China"
69,"Luo, JJ; Wang, XM; Li, SR; Liu, J; Guo, YM; Niu, GD; Yao, L; Fu, YH; Gao, L; Dong, QS; Zhao, CY; Leng, MY; Ma, FS; Liang, WX; Wang, LD; Jin, SY; Han, JB; Zhang, LJ; Etheridge, J; Wang, JB; Yan, YF; Sargent, EH; Tang, J","Huazhong Univ Sci & Technol, Wuhan Natl Lab Optoelect, Sargent Joint Res Ctr, Wuhan, Hubei, Peoples R China; Huazhong Univ Sci & Technol, Sch Opt & Elect Informat, Wuhan, Hubei, Peoples R China; Univ Toledo, Dept Phys & Astron, Toledo, OH 43606 USA; Univ Toledo, Wright Ctr Photovolta Innovat & Commercializat, 2801 W Bancroft St, Toledo, OH 43606 USA; Monash Univ, Dept Mat Sci & Engn, Clayton, Vic, Australia; Jilin Univ, MOE, Key Lab Automobile Mat, State Key Lab Superhard Mat, Changchun, Jilin, Peoples R China; Jilin Univ, Sch Mat Sci & Engn, Changchun, Jilin, Peoples R China; Univ Toronto, Dept Elect & Comp Engn, Toronto, ON, Canada; Tsinghua Univ, Dept Chem, Minist Educ, Key Lab Organ Optoelect & Mol Engn, Beijing, Peoples R China; Chinese Acad Sci, Dalian Inst Chem Phys, State Key Lab Mol React Dynam, Dalian, Peoples R China; Chinese Acad Sci, Dalian Inst Chem Phys, Collaborat Innovat Ctr Chem Energy Mat iChEM, Dalian, Peoples R China; Huazhong Univ Sci & Technol, Wuhan Natl High Magnet Field Ctr, Wuhan, Hubei, Peoples R China; Monash Univ, Monash Ctr Electron Microscopy, Clayton, Vic, Australia; Wuhan Univ, Ctr Electron Microscopy, Sch Phys & Technol, MOE,Key Lab Artificial Micro & Nanostruct, Wuhan, Hubei, Peoples R China; Wuhan Univ, Inst Adv Studies, Wuhan, Hubei, Peoples R China"
70,"Berger, C; Song, ZM; Li, TB; Li, XB; Ogbazghi, AY; Feng, R; Dai, ZT; Marchenkov, AN; Conrad, EH; First, PN; de Heer, WA","Georgia Inst Technol, Sch Phys, Atlanta, GA 30332 USA; CNRS, LEPES, F-38042 Grenoble, France"
71,"Emtsev, KV; Bostwick, A; Horn, K; Jobst, J; Kellogg, GL; Ley, L; McChesney, JL; Ohta, T; Reshanov, SA; Rohrl, J; Rotenberg, E; Schmid, AK; Waldmann, D; Weber, HB; Seyller, T","Univ Erlangen Nurnberg, Lehrstuhl Tech Phys, Erwin Rommel Str 1, D-91058 Erlangen, Germany; Univ Calif Berkeley, Lawrence Berkeley Lab, Adv Light Source, Berkeley, CA 94720 USA; Max Planck Gesell, Fritz Haber Inst, Dept Mol Phys, D-14195 Berlin, Germany; Univ Erlangen Nurnberg, Lehrstuhl Angew Phys, D-91058 Erlangen, Germany; Sandia Natl Labs, Surface & Interface Sci Dept, Albuquerque, NM 87185 USA; Univ Calif Berkeley, Lawrence Berkeley Lab, Natl Ctr Electron Microscopy, Berkeley, CA 94720 USA"
72,"Scott, JF","Univ Cambridge, Ctr Ferro, Dept Earth Sci, Cambridge CB2 3EQ, England"
73,"Hou, JH; Inganas, O; Friend, RH; Gao, F","Chinese Acad Sci, Inst Chem, State Key Lab Polymer Phys & Chem, Beijing Natl Lab Mol Sci, Beijing 100190, Peoples R China; Linkoping Univ, Dept Phys Chem & Biol IFM, Biomol & Organ Elect, SE-58183 Linkoping, Sweden; Cavendish Lab, JJ Thomson Ave, Cambridge CB3 0HE, England"
74,"Wang, Y; Li, XM; Song, JZ; Xiao, L; Zeng, HB; Sun, HD","Nanyang Technol Univ, Sch Phys & Math Sci, Div Phys & Appl Phys, Singapore 637371, Singapore; Nanjing Univ Sci & Technol, Coll Mat Sci & Engn, Inst Optoelect & Nanomat, Nanjing 210094, Jiangsu, Peoples R China; Nanjing Univ Aeronaut & Astronaut, Coll Mat Sci & Engn, State Key Lab Mech & Control Mech Struct, Nanjing 210085, Jiangsu, Peoples R China; Nanyang Technol Univ, CDPT, Singapore 637371, Singapore"
75,"Xu, HQ; Hu, JH; Wang, DK; Li, ZH; Zhang, Q; Luo, Y; Yu, SH; Jiang, HL","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, CAS Key Lab Soft Matter Chem, Collaborat Innovat Ctr Suzhou Nano Sci & Technol, Dept Chem, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Synerget Innovat Ctr Quantum Informat & Quantum P, Dept Chem Phys, Hefei Sci Ctr CAS, Hefei 230026, Anhui, Peoples R China; Fuzhou Univ, Res Inst Photocatalysis, Coll Chem, State Key Lab Photocatalysis Energy & Environm, Fuzhou 350002, Peoples R China"
76,"Elias, DC; Nair, RR; Mohiuddin, TMG; Morozov, SV; Blake, P; Halsall, MP; Ferrari, AC; Boukhvalov, DW; Katsnelson, MI; Geim, AK; Novoselov, KS","Univ Manchester, Sch Phys & Astron, Manchester M13 9PL, Lancs, England; Russian Acad Sci, Inst Microelect Technol, Chernogolovka 142432, Russia; Univ Manchester, Manchester Ctr Mesosci & Nanotechnol, Manchester M13 9PL, Lancs, England; Univ Cambridge, Dept Engn, Cambridge CB3 0FA, England; Radboud Univ Nijmegen, Inst Mol & Mat, NL-6525 ED Nijmegen, Netherlands"
77,"Thess, A; Lee, R; Nikolaev, P; Dai, HJ; Petit, P; Robert, J; Xu, CH; Lee, YH; Kim, SG; Rinzler, AG; Colbert, DT; Scuseria, GE; Tomanek, D; Fischer, JE; Smalley, RE","RICE UNIV, RICE QUANTUM INST, CTR NANOSCALE SCI & TECHNOL, HOUSTON, TX 77251 USA; RICE UNIV, DEPT CHEM, HOUSTON, TX 77251 USA; RICE UNIV, DEPT PHYS, HOUSTON, TX 77251 USA; UNIV PENN, DEPT MAT SCI & ENGN, PHILADELPHIA, PA 19104 USA; UNIV PENN, RES STRUCT MATTER LAB, PHILADELPHIA, PA 19104 USA; INST CHARLES SADRON, F-67000 STRASBOURG, FRANCE; MICHIGAN STATE UNIV, DEPT PHYS & ASTRON, E LANSING, MI 48824 USA"
78,"Yu, HJ; Shi, R; Zhao, YF; Waterhouse, GIN; Wu, LZ; Tung, CH; Zhang, TR","Chinese Acad Sci, Key Lab Photochem Convers & Optoelect Mat, Tech Inst Phys & Chem, Beijing 100190, Peoples R China; Univ Chinese Acad Sci, Beijing 100049, Peoples R China; Univ Auckland, Sch Chem Sci, Auckland 1142, New Zealand"
79,"Hong, XP; Kim, J; Shi, SF; Zhang, Y; Jin, CH; Sun, YH; Tongay, S; Wu, JQ; Zhang, YF; Wang, F","Univ Calif Berkeley, Dept Phys, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Natl Lab, Div Mat Sci, Berkeley, CA 94720 USA; Peking Univ, Coll Engn, Dept Mat Sci & Engn, Beijing 100871, Peoples R China; Univ Calif Berkeley, Dept Mat Sci & Engn, Berkeley, CA 94720 USA; Arizona State Univ, Sch Engn Matter Transport & Energy, Tempe, AZ 85287 USA; Univ Calif Berkeley, Kavli Energy NanoSci Inst, Berkeley, CA 94720 USA; Univ Calif Berkeley, Lawrence Berkeley Natl Lab, Berkeley, CA 94720 USA"
80,"Bernevig, BA; Hughes, TL; Zhang, SC","Stanford Univ, Dept Phys, Stanford, CA 94305 USA; Univ Calif Santa Barbara, Kavli Inst Theoret Phys, Santa Barbara, CA 93106 USA"
81,"Wei, Y; Cheng, ZY; Lin, J","Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Rare Earth Resource Utilizat, Changchun 130022, Jilin, Peoples R China; Univ Sci & Technol China, Hefei 230026, Anhui, Peoples R China; Wuyi Univ, Sch Appl Phys & Mat, Jiangmen 529020, Guangdong, Peoples R China"
82,"MORKOC, H; STRITE, S; GAO, GB; LIN, ME; SVERDLOV, B; BURNS, M","UNIV ILLINOIS, COORDINATED SCI LAB, URBANA, IL 61801 USA"
83,"Luo, MC; Zhao, ZL; Zhang, YL; Sun, YJ; Xing, Y; Lv, F; Yang, Y; Zhang, X; Hwang, S; Qin, YN; Ma, JY; Lin, F; Su, D; Lu, G; Guo, SJ","Peking Univ, Coll Engn, Dept Mat Sci & Engn, Beijing, Peoples R China; Peking Univ, Coll Engn, BIC ESAT, Beijing, Peoples R China; Calif State Univ Northridge, Dept Phys & Astron, Northridge, CA 91330 USA; Brookhaven Natl Lab, Ctr Funct Nanomat, Upton, NY 11973 USA; Chinese Acad Sci, Shanghai Inst Appl Phys, Shanghai Synchrotron Radiat Facil, Shanghai, Peoples R China; Peking Univ, Coll Engn, Dept Energy & Resources Engn, Beijing, Peoples R China; Peking Univ, Coll Engn, Key Lab Theory & Technol Adv Batteries Mat, Beijing, Peoples R China"
84,"Liu, M; Yin, XB; Ulin-Avila, E; Geng, BS; Zentgraf, T; Ju, L; Wang, F; Zhang, X","Univ Calif Berkeley, NSF Nanoscale Sci & Engn Ctr NSEC, Berkeley, CA 94720 USA; Univ Calif Berkeley, Dept Phys, Berkeley, CA 94720 USA; Lawrence Berkeley Natl Lab, Div Mat Sci, Berkeley, CA 94720 USA"
85,"Amendola, V; Pilot, R; Frasconi, M; Marago, OM; Iati, MA","Univ Padua, Dept Chem Sci, Via Marzolo 1, I-35131 Padua, Italy; UdR Padova, Consorzio INSTM, Padua, Italy; CNR, IPCF, Vle F Stagno DAlcontres 37, I-98158 Messina, Italy"
86,"Sun, ZB; Xie, HH; Tang, SY; Yu, XF; Guo, ZN; Shao, JD; Zhang, H; Huang, H; Wang, HY; Chu, PK","Chinese Acad Sci, Inst Biomed & Biotechnol, Shenzhen Inst Adv Technol, Shenzhen 518055, Peoples R China; Shenzhen Univ, SZU NUS Collaborat Innovat Ctr Optoelect Sci & Te, Shenzhen 518060, Peoples R China; Shenzhen Univ, Key Lab Optoelect Devices & Syst, Minist Educ, Shenzhen 518060, Peoples R China; Shenzhen Univ, Guangdong Prov Coll Optoelect Engn, Shenzhen 518060, Peoples R China; City Univ Hong Kong, Dept Phys & Mat Sci, Kowloon, Hong Kong, Peoples R China"
87,"Zhang, XD; Wang, HX; Wang, H; Zhang, Q; Xie, JF; Tian, YP; Wang, J; Xie, Y","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Collaborat Innovat Ctr Chem Energy Mat, Hefei 230026, Anhui, Peoples R China; Univ Sci & Technol China, Sch Life Sci, Hefei 230027, Anhui, Peoples R China; Anhui Univ, Dept Chem, Hefei 230039, Anhui, Peoples R China"
88,"Zhang, F; Zhong, HZ; Chen, C; Wu, XG; Hu, XM; Huang, HL; Han, JB; Zou, BS; Dong, YP","Beijing Inst Technol, Sch Mat Sci & Engn, Beijing Key Lab Nanophoton & Ultrafine Optoelect, 5 Zhongguancun South St, Beijing 100081, Peoples R China; Beijing Inst Technol, Sch Phys, Micro Nano Technol Ctr, Beijing 100081, Peoples R China; Huazhong Univ Sci & Technol, Wuhan Natl High Magnet Field Ctr, Wuhan 430074, Peoples R China; Huazhong Univ Sci & Technol, Sch Phys, Wuhan 430074, Peoples R China"
89,"Kane, CL; Mele, EJ","Univ Penn, Dept Phys & Astron, Philadelphia, PA 19104 USA"
90,"Hu, JT; Odom, TW; Lieber, CM","Harvard Univ, Dept Chem & Chem Biol, Cambridge, MA 02138 USA; Harvard Univ, Div Engn & Appl Sci, Cambridge, MA 02138 USA"
91,"Zhou, M; Wang, HL; Guo, SJ","NE Normal Univ, Key Lab Polyoxometalate Sci, Minist Educ, Fac Chem, Changchun 130024, Jilin Province, Peoples R China; NE Normal Univ, Natl & Local United Engn Lab Power Batteries, Changchun 130024, Jilin Province, Peoples R China; Los Alamos Natl Lab, Phys Chem & Appl Spect, Div Chem, POB 1663, Los Alamos, NM 87545 USA; Peking Univ, Coll Engn, Dept Mat Sci & Engn, Beijing 100871, Peoples R China; Peking Univ, Coll Engn, Dept Energy & Resources Engn, Beijing 100871, Peoples R China"
92,"Pan, J; Quan, LN; Zhao, YB; Peng, W; Murali, B; Sarmah, SP; Yuan, MJ; Sinatra, L; Alyami, NM; Liu, JK; Yassitepe, E; Yang, ZY; Voznyy, O; Comin, R; Hedhili, MN; Mohammed, OF; Lu, ZH; Kim, DH; Sargent, EH; Bakr, OM","King Abdullah Univ Sci & Technol, Div Phys Sci & Engn, Thuwal 239556900, Saudi Arabia; Univ Toronto, Dept Elect & Comp Engn, 10 Kings Coll Rd, Toronto, ON M5S 3G4, Canada; Ewha Womans Univ, Dept Chem & Nano Sci, 52 Ewhayeodae Gil, Seoul 03760, South Korea; Univ Toronto, Dept Mat Sci & Engn, 184 Coll St, Toronto, ON M5S 3E4, Canada; King Abdullah Univ Sci & Technol, Imaging & Characterizat Lab, Thuwal 239556900, Saudi Arabia"
93,"Huang, XQ; Tang, SH; Mu, XL; Dai, Y; Chen, GX; Zhou, ZY; Ruan, FX; Yang, ZL; Zheng, NF","Xiamen Univ, State Key Lab Phys Chem Solid Surfaces, Xiamen 361005, Peoples R China; Xiamen Univ, Dept Chem, Coll Chem & Chem Engn, Xiamen 361005, Peoples R China; Xiamen Univ, Dept Phys, Xiamen 361005, Peoples R China"
94,"Qu, D; Zheng, M; Du, P; Zhou, Y; Zhang, LG; Li, D; Tan, HQ; Zhao, Z; Xie, ZG; Sun, ZC","Chinese Acad Sci, Changchun Inst Opt Fine Mech & Phys, State Key Lab Luminescence & Applicat, Changchun 130033, Jilin, Peoples R China; Univ Chinese Acad Sci, Beijing 100000, Peoples R China; Chinese Acad Sci, Changchun Inst Opt Fine Mech & Phys, State Key Lab Appl Opt, Changchun 130033, Jilin, Peoples R China; Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Polymer Phys & Chem, Changchun 130022, Jilin, Peoples R China"
95,"Tang, LB; Ji, RB; Cao, XK; Lin, JY; Jiang, HX; Li, XM; Teng, KS; Luk, CM; Zeng, SJ; Hao, JH; Lau, SP","Hong Kong Polytech Univ, Dept Appl Phys, Hong Kong, Hong Kong, Peoples R China; Kunming Inst Phys, Kunming 650223, Yunnan Province, Peoples R China; Texas Tech Univ, Dept Elect & Comp Engn, Lubbock, TX 79409 USA; Yunnan Normal Univ, Solar Energy Res Inst, Kunming 650092, Peoples R China; Univ Swansea, Coll Engn, Multidisciplinary Nanotechnol Ctr, Swansea SA2 8PP, W Glam, Wales"
96,"de Arquer, FPG; Armin, A; Meredith, P; Sargent, EH","Univ Toronto, Dept Elect & Comp Engn, 35 St George St, Toronto, ON M5S 1A4, Canada; Univ Queensland, Sch Math & Phys, St Lucia Campus, Brisbane, Qld 4072, Australia; Swansea Univ, Dept Phys, Singleton Pk, Swansea SA2 8PP, W Glam, Wales"
97,"Zheludev, NI; Kivshar, YS","Univ Southampton, Optoelect Res Ctr, Southampton SO17 1BJ, Hants, England; Nanyang Technol Univ, Ctr Disrupt Photon Technol, Singapore 637378, Singapore; Australian Natl Univ, Nonlinear Phys Ctr, Canberra, ACT 0200, Australia; Australian Natl Univ, CUDOS ANU, Canberra, ACT 0200, Australia"
98,"Das, S; Jayaraman, V","Indira Gandhi Ctr Atom Res, Mat Chem Div, Kalpakkam 603102, Tamil Nadu, India"
